original,typed
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,t
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
r,r
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,c
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,r
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,d
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,l
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
e,e
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,e
d,l
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
d,d
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,r
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
t,t
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
h,h
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,a
i,n
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,u
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
i,i
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,i
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,a
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,n
n,j
n,n
n,n
n,n
n,n
n,n
n,n
n,n
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,j
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,a
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
k,k
j,j
j,j
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,p
p,o
p,p
b,b
b,b
b,b
b,b
b,b
b,b
b,b
b,b
b,b
b,b
b,n
b,b
b,n
b,b
b,b
b,b
b,c
b,b
b,b
b,b
l,l
l,l
l,l
l,l
l,l
l,o
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,k
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,o
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,e
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
l,l
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,e
a,a
a,a
a,a
a,a
a,a
a,i
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,n
a,a
a,k
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,a
a,i
a,a
a,a
a,a
a,a
a,a
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,h
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,d
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
s,s
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,k
o,o
o,o
o,o
o,i
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,i
o,o
o,l
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
o,o
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
u,u
y,y
y,y
y,y
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,r
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
m,m
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
g,g
c,l
c,c
c,c
c,c
c,c
c,a
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
c,c
w,w
w,w
w,w
w,w
w,w
v,v
v,v
v,v
v,v
v,v
v,v
v,v
z,z
