delay,transition
546,0-0
89,0-0
124,0-1
129,1-0
157,0-0
160,0-0
168,0-0
100,0-1
360,1-0
142,0-0
90,0-0
170,0-0
65,0-1
174,1-0
160,0-0
105,0-0
102,0-1
126,1-0
161,0-0
156,0-0
124,0-1
64,1-0
108,0-0
102,0-0
97,0-1
128,1-0
101,0-0
141,0-0
127,0-0
146,0-0
162,0-0
100,0-1
324,1-0
106,0-0
142,0-0
119,0-0
203,0-1
192,1-0
102,0-0
121,0-1
208,1-0
123,0-0
185,0-0
52,0-0
166,0-0
82,0-0
97,0-1
103,1-0
101,0-0
200,0-1
130,1-0
201,0-0
165,0-0
182,0-0
88,0-0
193,0-3
228,3-2
1605,2-3
1594,3-0
299,0-0
153,0-1
600,1-0
174,0-0
170,0-0
88,0-0
117,0-1
272,1-0
188,0-0
197,0-0
175,0-0
167,0-0
71,0-1
505,1-0
95,0-0
95,0-0
87,0-1
241,1-0
114,0-0
147,0-0
213,0-0
182,0-0
88,0-0
80,0-0
178,0-0
51,0-1
188,1-0
506,0-0
440,0-1
149,1-0
69,0-0
125,0-0
84,0-1
306,1-0
216,0-0
231,0-0
164,0-0
67,0-0
183,0-1
425,1-0
103,0-0
104,0-0
90,0-1
100,1-0
77,0-0
107,0-0
78,0-1
267,1-0
144,0-0
106,0-0
114,0-0
183,0-1
153,1-0
108,0-0
108,0-1
117,1-0
70,0-0
107,0-0
79,0-1
353,1-0
233,0-0
1462,0-0
89,0-0
78,0-0
872,0-3
1287,3-3
570,3-2
254,2-2
1547,2-0
580,0-0
149,0-0
81,0-0
400,0-0
109,0-0
440,0-1
250,1-0
115,0-0
103,0-1
270,1-0
1288,0-0
365,0-0
258,0-0
831,0-0
377,0-1
186,1-0
84,0-1
423,1-0
141,0-0
179,0-0
70,0-0
82,0-0
172,0-0
52,0-1
189,1-0
119,0-0
124,0-1
422,1-0
156,0-0
128,0-0
137,0-0
178,0-0
742,0-3
155,3-1
392,1-0
169,0-0
132,0-0
756,0-0
2030,0-0
259,0-0
224,0-0
109,0-0
124,0-0
92,0-1
397,1-0
179,0-0
186,0-0
659,0-0
228,0-0
164,0-0
135,0-0
169,0-0
732,0-0
201,0-3
452,3-2
1781,2-0
467,0-0
182,0-0
75,0-0
239,0-1
307,1-0
199,0-0
192,0-0
171,0-0
101,0-0
189,0-1
202,1-0
351,0-0
205,0-1
158,1-0
53,0-0
145,0-0
97,0-1
398,1-0
330,0-0
1232,0-0
134,0-0
133,0-0
244,0-1
386,1-0
122,0-0
107,0-1
160,1-0
157,0-0
120,0-0
118,0-1
142,1-0
68,0-1
520,1-0
393,0-0
120,0-0
177,0-0
786,0-0
105,0-0
157,0-0
453,0-3
161,3-1
164,1-0
79,0-0
131,0-0
115,0-1
130,1-0
68,0-1
398,1-0
173,0-0
610,0-0
629,0-0
152,0-0
168,0-0
174,0-0
164,0-0
118,0-0
103,0-0
90,0-3
483,3-2
294,2-2
1271,2-3
2156,3-0
454,0-0
357,0-1
175,1-0
191,0-0
351,0-0
106,0-0
262,0-1
260,1-0
92,0-0
95,0-0
117,0-1
430,1-0
161,0-0
111,0-0
152,0-0
138,0-1
421,1-0
124,0-0
144,0-1
146,1-0
113,0-0
214,0-1
199,1-0
183,0-0
211,0-0
51,0-0
222,0-1
163,1-0
67,0-0
150,0-0
252,0-0
127,0-0
750,0-3
384,3-3
649,3-1
388,1-0
96,0-0
110,0-0
107,0-1
340,1-0
241,0-0
178,0-0
88,0-0
132,0-1
241,1-0
127,0-0
159,0-0
239,0-0
432,0-0
170,0-0
165,0-0
162,0-0
122,0-3
287,3-2
1798,2-0
1345,0-0
501,0-1
1574,1-0
176,0-0
583,0-1
193,1-0
141,0-0
179,0-0
418,0-0
183,0-0
194,0-0
118,0-0
651,0-3
206,3-1
543,1-0
158,0-0
130,0-1
1155,1-0
330,0-0
255,0-0
165,0-0
122,0-0
450,0-3
159,3-1
109,1-0
113,0-0
93,0-0
154,0-1
440,1-0
159,0-0
103,0-1
352,1-0
199,0-0
187,0-0
64,0-0
169,0-0
76,0-0
409,0-1
1127,1-0
143,0-0
112,0-0
74,0-0
600,0-1
90,1-0
151,0-0
90,0-1
609,1-0
176,0-0
136,0-0
691,0-0
901,0-1
313,1-0
245,0-0
286,0-0
1137,0-0
95,0-0
173,0-1
820,1-0
168,0-0
240,0-1
801,1-0
104,0-0
596,0-3
