delay,transition
669,0-0
163,0-0
281,0-0
199,0-0
133,0-0
209,0-1
189,1-0
133,0-0
76,0-1
114,1-0
55,0-0
130,0-0
88,0-1
491,1-0
170,0-0
278,0-0
702,0-0
846,0-0
172,0-0
190,0-0
154,0-0
132,0-1
1092,1-0
208,0-0
237,0-0
142,0-0
78,0-0
92,0-0
150,0-0
94,0-1
352,1-0
210,0-1
175,1-0
187,0-0
1712,0-0
178,0-0
370,0-1
164,1-0
168,0-0
191,0-0
179,0-0
344,0-1
235,1-0
146,0-0
174,0-0
173,0-0
112,0-0
254,0-3
292,3-2
593,2-0
542,0-0
239,0-1
199,1-0
84,0-0
102,0-0
339,0-0
209,0-1
215,1-0
168,0-0
104,0-0
118,0-1
163,1-0
84,0-0
208,0-0
146,0-0
114,0-0
215,0-3
170,3-1
274,1-0
180,0-0
163,0-0
80,0-0
113,0-0
115,0-3
171,3-1
689,1-0
125,0-0
97,0-1
882,1-0
343,0-0
110,0-0
250,0-0
1053,0-0
76,0-0
100,0-1
686,1-0
189,0-0
134,0-0
160,0-0
103,0-0
133,0-0
125,0-0
126,0-0
167,0-0
903,0-3
467,3-1
277,1-0
122,0-0
104,0-1
315,1-0
102,0-0
182,0-0
201,0-0
117,0-0
93,0-0
136,0-1
382,1-0
114,0-0
212,0-0
851,0-0
188,0-0
69,0-0
156,0-0
677,0-1
177,1-0
73,0-0
114,0-0
106,0-1
227,1-0
178,0-0
65,0-0
130,0-3
275,3-2
645,2-0
323,0-0
124,0-0
128,0-1
466,1-0
187,0-0
114,0-0
211,0-0
119,0-0
200,0-0
262,0-0
217,0-0
101,0-0
159,0-0
194,0-0
125,0-1
266,1-0
169,0-0
66,0-0
112,0-0
99,0-0
110,0-1
82,1-0
155,0-0
81,0-0
172,0-0
157,0-1
136,1-0
133,0-0
1149,0-0
609,0-1
350,1-0
139,0-0
234,0-1
629,1-0
2186,0-0
1031,0-3
375,3-1
385,1-0
76,0-0
89,0-0
99,0-1
582,1-0
88,0-0
75,0-0
141,0-0
182,0-0
120,0-0
193,0-0
116,0-0
317,0-1
170,1-0
179,0-0
166,0-0
185,0-0
94,0-0
423,0-0
124,0-0
157,0-0
151,0-0
81,0-0
124,0-1
406,1-0
185,0-0
170,0-0
84,0-0
104,0-0
106,0-1
607,1-0
126,0-0
353,0-0
547,0-0
90,0-0
283,0-0
180,0-0
1598,0-3
428,3-2
694,2-0
816,0-0
182,0-0
118,0-0
90,0-0
170,0-0
233,0-1
192,1-0
